,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,Metric,Approach,Distribution,N Important,Stability 5,Stability N/2,Feat 1 Stab,Feat 2 Stab,Feat 3 Stab,Feat 4 Stab,Feat 5 Stab,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
1,Old Approach,BARBE,normal,9,0.210338345864662,0.5850945528047544,0.07894736842105263,0.1,0.04736842105263158,0.08421052631578947,0.05263157894736842,0.0960960960960961,0,-0.004504504504504507,-0.0840840840840841,0,0,0,0,0,0,-0.1936936936936937,0,-0.1036036036036036,0.0315315315315315,0.016516516516516516,0,0,0,-0.1111111111111111,0,-0.019519519519519527,0,-0.08858858858858858,0.12612612612612611,-0.08408408408408409,0,0,0,0,0
2,Old Approach,BARBE,normal,8,0,0,0,0,0,0,0,0.06156156156156156,0,-0.013513513513513514,0.07357357357357358,0,0,0,0,0,0,0.10510510510510511,0,0.1111111111111111,-0.1021021021021021,0,0,0,0.0960960960960961,0,0,0.16816816816816815,-0.1021021021021021,0.15165165165165165,0.24024024024024018,0,0,0,0,0,0
3,Old Approach,BARBE,normal,10,0,0,0,0,0,0,0,0.03303303303303303,0,-0.016516516516516505,-0.27627627627627627,0,0,0,-0.07807807807807808,0.018018018018018018,0,0.019519519519519524,0,0,-0.10510510510510511,0,0,0,0,0,0,0.19069069069069067,0.01951951951951952,-0.20270270270270271,-0.009009009009009,0,0.013513513513513514,0,-0.0960960960960961,0,0
4,Old Approach,BARBE,normal,8,0,0,0,0,0,0,0,-0.08108108108108109,-0.1921921921921922,-0.0960960960960961,-0.2627627627627628,0,0,0,0,0.013513513513513514,0,-0.07657657657657659,0,0,-0.1111111111111111,0,0,0,0,0,0,0.1006006006006006,-0.0960960960960961,-0.08408408408408409,-0.058558558558558585,-0.08258258258258258,0,0,-0.1021021021021021,0,0
5,Old Approach,BARBE,normal,16,0,0,0,0,0,0,0,0.028528528528528527,0,-0.18618618618618618,-0.06306306306306307,0,0,0.016516516516516516,-0.11561561561561562,0,0,-0.0930930930930931,0,0,-0.0990990990990991,0,0,0,0,0,0,0.10210210210210212,0,-0.16816816816816815,-0.04804804804804806,-0.08858858858858859,0.0990990990990991,-0.1066066066066066,-0.07807807807807808,0,-0.018018018018018018
6,Old Approach,BARBE,normal,21,0,0,0,0,0,0,0,0.15315315315315314,-0.10510510510510511,0.03303303303303303,-0.17717717717717718,0,0,0.015015015015015015,-0.1066066066066066,0,0,-0.21171171171171171,0,0.11711711711711711,0.09759759759759758,0,0.015015015015015015,0,-0.11261261261261261,-0.018018018018018018,0.015015015015015015,-0.07357357357357355,0.1006006006006006,0.1246246246246246,-0.04654654654654655,-0.10810810810810811,0,-0.0870870870870871,0.1036036036036036,0,0
7,Old Approach,BARBE,normal,8,0,0,0,0,0,0,0,0,0,0,-0.27927927927927926,0,0,0,0.1021021021021021,0,0,0.1021021021021021,0,0.11111111111111109,-0.004504504504504486,0,0,0,0.01951951951951952,0,0,0.13063063063063066,-0.0945945945945946,-0.006006006006006009,0.22372372372372373,0,0.1021021021021021,0,-0.1006006006006006,0,0
8,Old Approach,BARBE,normal,13,0,0,0,0,0,0,0,0.0990990990990991,0,0.13213213213213212,-0.26576576576576577,0,0,0,0.2012012012012012,0,0,-0.006006006006006009,0,-0.027027027027027015,-0.12162162162162163,0,0,0,0,0,0,0.09309309309309308,0.016516516516516516,-0.09309309309309309,-0.043543543543543534,0,0,0,-0.012012012012012019,0,0
9,Old Approach,BARBE,normal,9,0,0,0,0,0,0,0,0,-0.1036036036036036,0.025525525525525526,-0.01951951951951951,0,-0.1021021021021021,-0.1036036036036036,0.09009009009009009,0,0,0.07507507507507508,0,-0.10960960960960961,-0.11111111111111112,0,0,0,0,0,0,0.2027027027027027,0.0960960960960961,-0.07657657657657657,-0.14564564564564558,0,-0.10810810810810811,0,-0.1291291291291291,0,0
